t_s,x_m,y_m,theta_rad,v_mps
0.100000,0.002475,0.000000,0.000000,0.050000
0.200000,0.009950,0.000000,0.000000,0.100000
0.300000,0.022425,0.000000,0.000000,0.150000
0.400000,0.039900,0.000000,0.000000,0.200000
0.500000,0.062375,0.000000,0.000000,0.250000
0.600000,0.089850,0.000000,0.000000,0.300000
0.700000,0.122325,0.000000,0.000000,0.350000
0.800000,0.159800,0.000000,0.000000,0.400000
0.900000,0.202275,0.000000,0.000000,0.450000
1.000000,0.249750,0.000000,0.000000,0.500000
1.100000,0.302225,0.000000,0.000000,0.550000
1.200000,0.359700,0.000000,0.000000,0.600000
1.300000,0.422175,0.000000,0.000000,0.650000
1.400000,0.489650,0.000000,0.000000,0.700000
1.500000,0.562125,0.000000,0.000000,0.750000
1.600000,0.639600,0.000000,0.000000,0.800000
1.700000,0.722075,0.000000,0.000000,0.850000
1.800000,0.809550,0.000000,0.000000,0.900000
1.900000,0.902025,0.000000,0.000000,0.950000
2.000000,0.999500,0.000000,0.000000,1.000000
2.100000,1.099524,0.001941,0.039600,1.000500
2.200000,1.199391,0.007880,0.079600,1.000500
2.300000,1.298940,0.017808,0.119600,1.000500
2.400000,1.398013,0.031709,0.159600,1.000500
2.500000,1.496451,0.049561,0.199600,1.000500
2.600000,1.594096,0.071335,0.239600,1.000500
2.700000,1.690792,0.096996,0.279600,1.000500
2.800000,1.786385,0.126503,0.319600,1.000500
2.900000,1.880721,0.159810,0.359600,1.000500
3.000000,1.973650,0.196862,0.399600,1.000500
3.100000,2.065023,0.237601,0.439600,1.000500
3.200000,2.154694,0.281961,0.479600,1.000500
3.300000,2.242519,0.329872,0.519600,1.000500
3.400000,2.328358,0.381256,0.559600,1.000500
3.500000,2.412073,0.436032,0.599600,1.000500
3.600000,2.493531,0.494112,0.639600,1.000500
3.700000,2.572602,0.555403,0.679600,1.000500
3.800000,2.649158,0.619807,0.719600,1.000500
3.900000,2.723077,0.687220,0.759600,1.000500
4.000000,2.794241,0.757536,0.799600,1.000500
4.100000,2.863947,0.829307,0.800000,1.000500
4.200000,2.933653,0.901079,0.800000,1.000500
4.300000,3.003358,0.972850,0.800000,1.000500
4.400000,3.073064,1.044622,0.800000,1.000500
4.500000,3.142769,1.116393,0.800000,1.000500
4.600000,3.212475,1.188165,0.800000,1.000500
4.700000,3.282180,1.259936,0.800000,1.000500
4.800000,3.351886,1.331708,0.800000,1.000500
4.900000,3.421591,1.403479,0.800000,1.000500
5.000000,3.491297,1.475251,0.800000,1.000500
