t_s,dx_m,dy_m
0.100000,0.012867,0.011641
0.200000,0.038724,0.001554
0.300000,0.018804,0.001925
0.400000,0.009487,-0.001901
0.500000,0.010963,0.019105
0.600000,0.034633,0.010770
0.700000,0.031064,0.017707
0.800000,0.034064,-0.003428
0.900000,0.044381,0.014870
1.000000,0.058094,-0.009292
1.100000,0.059253,0.020734
1.200000,0.056751,0.000051
1.300000,0.071638,0.016397
1.400000,0.060358,0.001709
1.500000,0.079357,-0.001630
1.600000,0.081911,0.016387
1.700000,0.081347,0.019209
1.800000,0.092742,-0.001246
1.900000,0.098527,0.020955
2.000000,0.099958,0.009879
2.100000,0.095055,0.015316
2.200000,0.104836,0.028733
2.300000,0.093700,0.024600
2.400000,0.105240,0.019618
2.500000,0.097988,-0.001717
2.600000,0.101302,0.011761
2.700000,0.085163,0.023932
2.800000,0.091263,0.040714
2.900000,0.080058,0.021257
3.000000,0.084577,0.052236
3.100000,0.088224,0.040937
3.200000,0.083564,0.052181
3.300000,0.084356,0.049479
3.400000,0.089098,0.075964
3.500000,0.073437,0.064754
3.600000,0.067459,0.068001
3.700000,0.079541,0.067435
3.800000,0.078752,0.074959
3.900000,0.042998,0.077138
4.000000,0.062159,0.059254
4.100000,0.063663,0.060430
4.200000,0.063751,0.081970
4.300000,0.064013,0.074933
4.400000,0.063726,0.082365
4.500000,0.078383,0.075130
4.600000,0.062649,0.078404
4.700000,0.061439,0.074933
4.800000,0.060189,0.075542
4.900000,0.067629,0.070899
5.000000,0.065788,0.070262
5.100000,0.057307,0.071217
5.200000,0.078746,0.084735
5.300000,0.072006,0.074224
5.400000,0.072726,0.079162
5.500000,0.053975,0.068481
5.600000,0.075529,0.091846
5.700000,0.077362,0.069354
5.800000,0.057693,0.080858
5.900000,0.072023,0.054435
6.000000,0.070617,0.075291
6.100000,0.066086,0.057048
6.200000,0.046682,0.069101
6.300000,0.064271,0.065425
6.400000,0.039724,0.083287
6.500000,0.041643,0.047855
6.600000,0.055387,0.059483
6.700000,0.047274,0.042977
6.800000,0.026797,0.063120
6.900000,0.040627,0.049417
7.000000,0.032790,0.035958
7.100000,0.030036,0.048065
7.200000,0.028377,0.022182
7.300000,0.010667,0.031897
7.400000,0.035478,0.031407
7.500000,0.017040,0.023456
7.600000,0.012733,0.025002
7.700000,0.020842,0.006165
7.800000,0.004210,-0.004190
7.900000,0.005008,0.026568
8.000000,-0.013820,0.017948
