t_s,dx_m,dy_m
0.010000,0.000263,0.000141
0.020000,-0.000261,-0.000479
0.030000,0.001265,-0.000135
0.040000,0.001226,0.000973
0.050000,-0.000218,0.000925
0.060000,0.000072,-0.000451
0.070000,-0.000199,-0.000995
0.080000,0.001886,0.001543
0.090000,0.002184,-0.000453
0.100000,0.001057,-0.000373
0.110000,0.000779,0.000413
0.120000,-0.000792,0.000670
0.130000,0.000910,0.000166
0.140000,-0.000048,-0.000015
0.150000,0.000293,-0.000396
0.160000,0.000147,-0.000418
0.170000,0.000461,-0.000162
0.180000,0.000565,0.000630
0.190000,-0.000759,0.000426
0.200000,0.001149,0.000153
0.210000,0.001806,0.000910
0.220000,0.001030,0.000013
0.230000,0.000550,-0.000723
0.240000,0.000023,-0.000780
0.250000,0.001095,-0.000958
0.260000,0.001525,0.000723
0.270000,0.001263,0.000131
0.280000,0.001481,-0.000008
0.290000,0.001581,-0.000960
0.300000,0.001734,-0.000701
0.310000,0.000146,0.000049
0.320000,0.002826,-0.001077
0.330000,0.001285,0.000858
0.340000,0.002936,0.000457
0.350000,0.000625,-0.000021
0.360000,0.001186,0.000446
0.370000,0.001967,-0.000784
0.380000,0.000611,-0.000973
0.390000,0.002204,0.000985
0.400000,0.001415,-0.001402
0.410000,0.001911,0.000361
0.420000,0.001936,-0.000545
0.430000,0.002424,-0.001212
0.440000,0.002498,0.000225
0.450000,0.002273,0.001262
0.460000,0.002688,0.000454
0.470000,0.003912,0.000500
0.480000,0.002978,0.000441
0.490000,0.002096,0.000325
0.500000,0.002262,0.000527
0.510000,0.003531,0.000719
0.520000,0.001666,-0.000275
0.530000,0.002645,0.000252
0.540000,0.002043,-0.000205
0.550000,0.002479,-0.002051
0.560000,0.002201,-0.001074
0.570000,0.002588,-0.001405
0.580000,0.003205,0.001889
0.590000,0.003023,0.001287
0.600000,0.002763,-0.000368
0.610000,0.004080,-0.000431
0.620000,0.003100,0.000978
0.630000,0.004780,0.000132
0.640000,0.002458,-0.000470
0.650000,0.002080,0.000100
0.660000,0.003480,0.000062
0.670000,0.003852,0.000560
0.680000,0.003017,-0.001705
